compound,defect,cdir,nelect,F,conv,lat_match
Ag1Ga0.5In0.5S2_kesterite,Ag_In,Charged+1,2578,-.12288852E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,Ag_In,Charged+2,2577,-.12331646E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,Ag_In,Charged-1,2580,-.12201331E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,Ag_In,Charged-2,2581,-.12156396E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,Ag_In,Neutral,2579.0000,-.12245391E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,Ag_i,Charged+1,2602,-.12384508E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,Ag_i,Charged+2,2601,-.12427782E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,Ag_i,Charged-1,2604,-.12284070E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,Ag_i,Charged-2,2605,-.12223003E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,Ag_i,Neutral,2603.0000,-.12334552E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,S_In,Charged+1,2578,-.12288731E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,S_In,Charged+2,2577,-.12331712E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,S_In,Charged-1,2580,-.12201366E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,S_In,Charged-2,2581,-.12156410E+04,1,0
Ag1Ga0.5In0.5S2_kesterite,S_In,Neutral,2579.0000,-.12245315E+04,1,0
Ag1Ga0.5In0.5S2_stannite,In_Ga,Charged+1,2591,-.12311671E+04,1,0
Ag1Ga0.5In0.5S2_stannite,In_Ga,Charged+2,2590,-.12358086E+04,1,0
Ag1Ga0.5In0.5S2_stannite,In_Ga,Charged-1,2593,-.12214933E+04,1,0
Ag1Ga0.5In0.5S2_stannite,In_Ga,Charged-2,2594,-.12164713E+04,1,0
Ag1Ga0.5In0.5S2_stannite,In_Ga,Neutral,2592.0000,-.12264621E+04,1,0
Ag1Ga0.5In0.5Se2_kesterite,Ag_i,Charged+1,2602,-.11383821E+04,1,0
Ag1Ga0.5In0.5Se2_kesterite,Ag_i,Charged+2,2601,-.11419628E+04,1,0
Ag1Ga0.5In0.5Se2_kesterite,Ag_i,Charged-1,2604,-.11311309E+04,1,0
Ag1Ga0.5In0.5Se2_kesterite,Ag_i,Charged-2,2605,-.11262787E+04,1,0
Ag1Ga0.5In0.5Se2_kesterite,Ag_i,Neutral,2603.0000,-.11347745E+04,1,0
Ag1Ga0.5In0.5Se2_kesterite,V_Ag,Charged+1,2580,-.11318808E+04,1,0
Ag1Ga0.5In0.5Se2_kesterite,V_Ag,Charged+2,2579,-.11352486E+04,1,0
